periodo,cole_mcpio_ubicacion,estrato_num,edu_madre_num,edu_padre_num,indice_activos,fami_tienecomputador,fami_tieneinternet,fami_tieneautomovil,fami_tienelavadora,es_privado,es_urbano,cole_bilingue,genero_num,punt_matematicas,punt_lectura_critica,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles,punt_global,bajo_rendimiento,desemp_ingles
20224,MANIZALES,2,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0,1,0.0,1.0,42.0,52.0,43.0,43.0,36.0,222.0,1,A-
20224,VILLAMARÍA,3,5.0,8.0,3.0,1.0,1.0,0.0,1.0,1,0,,1.0,50.0,59.0,46.0,54.0,46.0,259.0,0,A-
20224,MANIZALES,2,2.0,2.0,3.0,1.0,1.0,0.0,1.0,0,1,0.0,0.0,42.0,40.0,43.0,50.0,37.0,216.0,1,A-
20224,MANIZALES,2,,,2.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,51.0,64.0,51.0,62.0,69.0,290.0,0,B1
20224,SAMANÁ,1,0.0,1.0,2.0,0.0,0.0,1.0,1.0,0,0,,0.0,51.0,45.0,50.0,54.0,38.0,245.0,0,A-
20224,VILLAMARÍA,2,4.0,9.0,3.0,1.0,1.0,0.0,1.0,1,1,0.0,1.0,59.0,50.0,53.0,53.0,56.0,270.0,0,A1
20224,SAMANÁ,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,46.0,50.0,49.0,48.0,44.0,240.0,0,A-
20224,MANIZALES,4,8.0,6.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,68.0,66.0,61.0,57.0,68.0,317.0,0,B1
20224,AGUADAS,1,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,,1.0,50.0,55.0,50.0,49.0,55.0,257.0,0,A1
20224,MANIZALES,1,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0,0,0.0,0.0,29.0,53.0,35.0,42.0,36.0,197.0,1,A-
20224,CHINCHINÁ,3,8.0,4.0,2.0,0.0,1.0,0.0,1.0,1,1,,1.0,60.0,60.0,55.0,65.0,68.0,303.0,0,B1
20224,MANIZALES,2,2.0,1.0,3.0,1.0,1.0,0.0,1.0,0,1,0.0,1.0,46.0,54.0,39.0,52.0,44.0,237.0,0,A-
20224,RIOSUCIO,2,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0.0,1.0,57.0,52.0,57.0,52.0,57.0,273.0,0,A1
20224,MANIZALES,6,2.0,0.0,4.0,1.0,1.0,1.0,1.0,0,1,0.0,1.0,32.0,40.0,32.0,41.0,47.0,185.0,1,A-
20224,MANIZALES,5,9.0,,3.0,1.0,1.0,0.0,1.0,1,1,0.0,0.0,59.0,62.0,66.0,70.0,75.0,325.0,0,B1
20224,MANIZALES,3,8.0,8.0,3.0,1.0,1.0,0.0,1.0,1,1,,0.0,45.0,70.0,58.0,45.0,68.0,278.0,0,B1
20224,MANIZALES,3,9.0,9.0,3.0,1.0,1.0,0.0,1.0,1,1,0.0,0.0,66.0,68.0,55.0,63.0,60.0,314.0,0,A2
20224,SUPÍA,1,2.0,,0.0,0.0,0.0,0.0,0.0,0,0,,0.0,39.0,40.0,48.0,40.0,36.0,207.0,1,A-
20224,MANIZALES,3,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0,1,0.0,0.0,46.0,48.0,44.0,40.0,59.0,228.0,1,A2
20224,MANIZALES,3,9.0,,4.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,57.0,70.0,55.0,51.0,56.0,290.0,0,A1
20224,MANIZALES,3,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0,1,0.0,1.0,55.0,53.0,55.0,53.0,44.0,266.0,0,A-
20224,MANIZALES,3,9.0,,4.0,1.0,1.0,1.0,1.0,1,1,0.0,0.0,57.0,70.0,55.0,51.0,56.0,290.0,0,A1
20224,SUPÍA,1,2.0,2.0,1.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,32.0,38.0,35.0,28.0,38.0,168.0,1,A-
20224,AGUADAS,3,2.0,,2.0,0.0,1.0,0.0,1.0,0,0,0.0,1.0,48.0,41.0,39.0,37.0,30.0,202.0,1,A-
20224,MANIZALES,3,9.0,9.0,3.0,1.0,1.0,0.0,1.0,1,1,0.0,0.0,66.0,68.0,55.0,63.0,60.0,314.0,0,A2
20224,MANIZALES,1,2.0,,3.0,1.0,1.0,0.0,1.0,0,1,0.0,0.0,68.0,70.0,66.0,62.0,72.0,335.0,0,B1
20224,MANIZALES,2,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0,1,0.0,1.0,42.0,52.0,43.0,43.0,36.0,222.0,1,A-
20224,MANIZALES,3,1.0,0.0,3.0,1.0,1.0,0.0,1.0,0,1,0.0,1.0,55.0,53.0,55.0,53.0,44.0,266.0,0,A-
20224,AGUADAS,2,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0.0,1.0,58.0,53.0,44.0,58.0,37.0,260.0,0,A-
20224,MARQUETALIA,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,,1.0,60.0,55.0,54.0,49.0,53.0,272.0,0,A1
20224,SALAMINA,3,4.0,2.0,3.0,1.0,1.0,0.0,1.0,0,1,0.0,1.0,60.0,63.0,55.0,55.0,54.0,290.0,0,A1
20224,MANIZALES,4,9.0,8.0,4.0,1.0,1.0,1.0,1.0,1,1,,1.0,78.0,77.0,74.0,72.0,67.0,373.0,0,A2
20224,MARMATO,2,4.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,50.0,29.0,42.0,31.0,39.0,190.0,1,A-
20224,RISARALDA,2,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0,0,0.0,1.0,27.0,34.0,37.0,30.0,31.0,160.0,1,A-
20224,MANIZALES,1,4.0,,3.0,1.0,1.0,0.0,1.0,0,1,0.0,1.0,47.0,57.0,35.0,39.0,36.0,219.0,1,A-
20224,AGUADAS,3,2.0,,2.0,0.0,1.0,0.0,1.0,0,0,0.0,1.0,48.0,41.0,39.0,37.0,30.0,202.0,1,A-
20224,CHINCHINÁ,4,8.0,2.0,4.0,1.0,1.0,1.0,1.0,1,1,0.0,1.0,61.0,62.0,62.0,56.0,67.0,304.0,0,A2
20224,MANIZALES,2,1.0,2.0,3.0,1.0,1.0,0.0,1.0,0,1,0.0,0.0,48.0,55.0,56.0,47.0,56.0,259.0,0,A1
20224,SUPÍA,2,2.0,,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,28.0,31.0,35.0,31.0,44.0,161.0,1,A-
20224,SAMANÁ,2,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0,0.0,1.0,40.0,40.0,33.0,36.0,35.0,185.0,1,A-
20224,SAMANÁ,1,1.0,1.0,2.0,1.0,0.0,0.0,1.0,0,0,,0.0,54.0,56.0,47.0,50.0,50.0,258.0,0,A1
20224,MANIZALES,2,1.0,,2.0,0.0,1.0,0.0,1.0,0,1,0.0,0.0,56.0,56.0,55.0,55.0,55.0,277.0,0,A1
20224,SALAMINA,2,4.0,1.0,2.0,1.0,0.0,0.0,1.0,0,0,0.0,0.0,32.0,38.0,40.0,28.0,33.0,172.0,1,A-
20224,ANSERMA,3,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0.0,0.0,50.0,47.0,37.0,39.0,44.0,217.0,1,A-
20224,MANIZALES,2,,,2.0,1.0,1.0,0.0,0.0,0,0,0.0,1.0,51.0,64.0,51.0,62.0,69.0,290.0,0,B1
20224,AGUADAS,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,54.0,60.0,56.0,47.0,49.0,269.0,0,A1
20224,MANIZALES,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1,1,0.0,1.0,57.0,55.0,47.0,50.0,53.0,262.0,0,A1
20224,ARANZAZU,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0,0,0.0,1.0,56.0,65.0,58.0,60.0,42.0,292.0,0,A-
20224,MANIZALES,1,1.0,1.0,3.0,1.0,1.0,0.0,1.0,0,0,0.0,0.0,50.0,55.0,53.0,48.0,43.0,254.0,0,A-
20224,SAMANÁ,1,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,46.0,50.0,49.0,48.0,44.0,240.0,0,A-
20224,RIOSUCIO,2,1.0,,1.0,0.0,0.0,0.0,1.0,0,0,0.0,1.0,38.0,44.0,40.0,43.0,33.0,203.0,1,A-
20224,MANIZALES,3,3.0,0.0,2.0,0.0,1.0,0.0,1.0,1,1,,1.0,51.0,42.0,46.0,39.0,54.0,226.0,1,A1
20224,MANIZALES,6,4.0,,2.0,0.0,1.0,0.0,1.0,1,1,0.0,1.0,68.0,67.0,60.0,60.0,70.0,321.0,0,B1
