periodo,cole_mcpio_ubicacion,cole_depto_ubicacion,punt_matematicas,punt_lectura_critica,punt_global,fami_estratovivienda,fami_educacionmadre,fami_educacionpadre,fami_personashogar,fami_cuartoshogar,fami_tienecomputador,fami_tieneinternet,fami_tieneautomovil,fami_tienelavadora,punt_c_naturales,punt_sociales_ciudadanas,punt_ingles,cole_naturaleza,cole_area_ubicacion,cole_bilingue,estu_genero,desemp_ingles
20224,MANIZALES,CALDAS,52.0,58.0,271.0,Estrato 2,Secundaria (Bachillerato) completa,No sabe,3,Tres,0,1,0,1,55.0,56.0,42.0,Privado,URBANO,,F,A-
20224,AGUADAS,CALDAS,58.0,41.0,233.0,Estrato 1,Primaria incompleta,Primaria completa,2,Dos,0,0,0,1,46.0,46.0,34.0,Público,RURAL,,M,A-
20224,SUPÍA,CALDAS,31.0,53.0,205.0,Estrato 1,Primaria incompleta,Primaria incompleta,5,Cuatro,0,1,0,0,34.0,43.0,51.0,Público,RURAL,0,F,A1
20224,PÁCORA,CALDAS,56.0,58.0,275.0,Estrato 2,Postgrado,No sabe,3,Dos,1,1,1,1,43.0,63.0,54.0,Público,RURAL,0,M,A1
20224,MANIZALES,CALDAS,63.0,56.0,282.0,Estrato 2,Primaria incompleta,Técnica o tecnológica completa,5,Dos,1,1,0,1,50.0,56.0,57.0,Público,URBANO,0,M,A1
20224,LA DORADA,CALDAS,56.0,69.0,305.0,Estrato 4,Técnica o tecnológica completa,No sabe,2,Dos,1,1,0,1,57.0,59.0,69.0,Privado,URBANO,0,M,B1
20224,CHINCHINÁ,CALDAS,61.0,62.0,304.0,Estrato 4,Educación profesional completa,Primaria completa,3,Tres,1,1,1,1,62.0,56.0,67.0,Privado,URBANO,0,M,A2
20224,MANIZALES,CALDAS,42.0,52.0,222.0,Estrato 2,Primaria completa,Ninguno,,Cinco,0,1,0,1,43.0,43.0,36.0,Público,URBANO,0,M,A-
20224,VILLAMARÍA,CALDAS,50.0,59.0,259.0,Estrato 3,Técnica o tecnológica incompleta,Educación profesional completa,2,Dos,1,1,0,1,46.0,54.0,46.0,Privado,RURAL,,M,A-
20224,MANIZALES,CALDAS,42.0,40.0,216.0,Estrato 2,Primaria completa,Primaria completa,5,Tres,1,1,0,1,43.0,50.0,37.0,Público,URBANO,0,F,A-
20224,MANIZALES,CALDAS,51.0,64.0,290.0,Estrato 2,,,5,Tres,1,1,0,0,51.0,62.0,69.0,Público,RURAL,0,M,B1
20224,SAMANÁ,CALDAS,51.0,45.0,245.0,Estrato 1,Ninguno,Primaria incompleta,3,Uno,0,0,1,1,50.0,54.0,38.0,Público,RURAL,,F,A-
20224,VILLAMARÍA,CALDAS,59.0,50.0,270.0,Estrato 2,Secundaria (Bachillerato) completa,Postgrado,3,Dos,1,1,0,1,53.0,53.0,56.0,Privado,URBANO,0,M,A1
20224,SAMANÁ,CALDAS,46.0,50.0,240.0,Estrato 1,Primaria incompleta,Primaria incompleta,5,Tres,0,0,0,0,49.0,48.0,44.0,Público,RURAL,0,F,A-
